Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DDIGEF,AD19,F,Profesional,ICT,93,1320,1,NO,Perfil A,Si,0.45,0.25,19,Sin información,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGEG,AD19,F,Profesional,IIT,97,1170,1,NO,Perfil A,No,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Local,No aplica
DDIGEH,AD19,F,Profesional,NEG,86,1300,1,NO,Perfil A,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGEK,AD19,F,Profesional,IBQ,99,1440,1,NO,Perfil A+,Si,0.65,0.25,18,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,No aplica
DDIGFB,AD19,M,Profesional,ICT,86,1140,1,NO,Perfil B,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Local,No aplica
DDIGFC,AD19,F,Profesional,NEG,90.4,1170,1,NO,Perfil A,No,0,0,19,6,Bajo,Rural,No,Si,Sin información,Local,No aplica
DDIGFD,AD19,F,Profesional,IIT,95,1260,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Rural,No,Si,Sin información,Local,No aplica
DDIGFE,AD19,F,Profesional,NEG,94,1210,1,NO,Perfil A,No,0,0,19,4,Bajo,Urbano,No,Si,Sin información,Foraneo Local,No aplica
DDIGFF,AD19,F,Profesional,NEG,99,1410,1,NO,Perfil A+,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGFG,AD19,M,Profesional,ICT,85,1330,1,NO,Perfil A,Si,0.35,0.25,18,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIGFH,AD19,F,Profesional,NEG,86,1390,1,NO,Perfil A,Si,0.2,0.2,18,Sin información,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGGC,AD19,M,Profesional,NEG,90,1240,1,NO,Perfil A,No,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Local,No aplica
DDIGGG,AD19,F,Profesional,NEG,90,1500,1,NO,Perfil A+,Si,0.25,0.25,18,7,Bajo,Urbano,Si,Si,Sin información,Local,No aplica
DDIGGJ,AD19,M,Profesional,NEG,90,1350,1,NO,Perfil A,Si,0,0,20,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIGHB,AD19,M,Profesional,NEG,81,1170,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIGHD,AD19,F,Profesional,NEG,92.2,1190,1,NO,Perfil A,Si,0,0,18,6,Bajo,Urbano,No,NA,Sin información,Local,No aplica
DDIGHE,AD19,M,Profesional,IIT,80,1170,1,NO,Perfil A,Si,0,0,19,Sin información,Bajo,Urbano,No,NA,Sin información,Foraneo Local,No aplica
DEDCJB,AD19,M,Profesional,NEG,82.87,,1,SI,NC,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DEDCKE,AD19,M,Profesional,NEG,88.4,,1,SI,NC,No,0,0,20,7,Bajo,Urbano,No,No,Sin información,Local,No
DEDDCH,AD19,F,Profesional,NEG,93.42,1110,1,SI,Perfil A+,Si,0.55,0,19,4,Bajo,Urbano,Si,No,Sin información,Local,Sin informacion
DEDDCI,AD19,M,Profesional,NEG,80.46,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,Si
DEDDDF,AD19,F,Profesional,NEG,86.22,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,Si,Si,Local,No
DEDDDJ,AD19,F,Profesional,CIS,93.17,1260,1,SI,Perfil A+,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,Si
DEDDEC,AD19,M,Profesional,IIT,86.35,,1,SI,NC,Si,0.25,0,18,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DEDDFG,AD19,F,Profesional,IIT,96.87,1380,1,SI,Perfil A+,Si,0.55,0.25,18,7,Bajo,Urbano,Si,No,Si,Local,Si
DEDDFH,AD19,M,Profesional,IIT,93.35,1320,1,SI,Perfil A+,Si,0.45,0.25,18,Sin información,Sin información,Urbano,Si,No,Si,Local,Si
DEDDFJ,AD19,F,Profesional,AMC,94.2,1260,1,SI,Perfil A+,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,Si
DEDDGE,AD19,F,Profesional,NEG,86.5,,1,SI,NC,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No
DEDDGH,AD19,F,Profesional,SLD,92.1,1370,1,SI,Perfil A+,Si,0,0,19,7,Bajo,Urbano,No,Si,Sin información,Local,Si
DEDDGJ,AD19,M,Profesional,ICT,87.12,,1,SI,NC,Si,0,0,19,6,Bajo,Semiurbano,No,Si,Sin información,Local,Si
DEDDHC,AD19,F,Profesional,NEG,83.65,,1,SI,NC,Si,0.3,0,18,7,Bajo,Urbano,Si,Si,Sin información,Local,Si
DEDDHE,AD19,M,Profesional,IIT,83.85,,1,SI,NC,Si,0.3,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,Sin informacion
